district,pm_id,year,quarter,result
Kitui County,1,2018,2,1
Kitui County,1,2018,4,2
Kitui County,1,2019,2,2
Kitui County,1,2019,4,2
Kitui County,1,2020,2,3
Kitui County,2,2018,2,1
Kitui County,2,2018,4,1
Kitui County,2,2019,2,2
Kitui County,2,2019,4,3
Kitui County,2,2020,2,3
Kitui County,3,2018,2,1
Kitui County,3,2018,4,1
Kitui County,3,2019,2,1
Kitui County,3,2019,4,2
Kitui County,3,2020,2,2
Kitui County,4,2018,2,1
Kitui County,4,2018,4,1
Kitui County,4,2019,2,2
Kitui County,4,2019,4,2
Kitui County,4,2020,2,2
Kitui County,5,2018,2,1
Kitui County,5,2018,4,1
Kitui County,5,2019,2,1
Kitui County,5,2019,4,1
Kitui County,5,2020,2,1
Kitui County,6,2018,2,1
Kitui County,6,2018,4,1
Kitui County,6,2019,2,1
Kitui County,6,2019,4,1
Kitui County,6,2020,2,2
Kitui County,7,2018,2,1
Kitui County,7,2018,4,1
Kitui County,7,2019,2,1
Kitui County,7,2019,4,1
Kitui County,7,2020,2,1
Kitui County,8,2018,2,1
Kitui County,8,2018,4,1
Kitui County,8,2019,2,1
Kitui County,8,2019,4,1
Kitui County,8,2020,2,1
Kitui County,9,2018,2,1
Kitui County,9,2018,4,1
Kitui County,9,2019,2,1
Kitui County,9,2019,4,1
Kitui County,9,2020,2,1
Kabarole Learning Alliance,1,2018,4,2
Kabarole Learning Alliance,1,2019,2,3
Kabarole Learning Alliance,1,2019,4,2
Kabarole Learning Alliance,1,2020,2,2
Kabarole Learning Alliance,2,2018,4,2
Kabarole Learning Alliance,2,2019,2,3
Kabarole Learning Alliance,2,2019,4,3
Kabarole Learning Alliance,2,2020,2,3
Kabarole Learning Alliance,3,2018,4,2
Kabarole Learning Alliance,3,2019,2,2
Kabarole Learning Alliance,3,2019,4,1
Kabarole Learning Alliance,3,2020,2,2
Kabarole Learning Alliance,4,2018,4,2
Kabarole Learning Alliance,4,2019,2,2
Kabarole Learning Alliance,4,2019,4,2
Kabarole Learning Alliance,4,2020,2,2
Kabarole Learning Alliance,5,2018,4,1
Kabarole Learning Alliance,5,2019,2,2
Kabarole Learning Alliance,5,2019,4,1
Kabarole Learning Alliance,5,2020,2,2
Kabarole Learning Alliance,6,2018,4,1
Kabarole Learning Alliance,6,2019,2,3
Kabarole Learning Alliance,6,2019,4,2
Kabarole Learning Alliance,6,2020,2,2
Kabarole Learning Alliance,7,2018,4,2
Kabarole Learning Alliance,7,2019,2,1
Kabarole Learning Alliance,7,2019,4,2
Kabarole Learning Alliance,7,2020,2,2
Kabarole Learning Alliance,8,2018,4,1
Kabarole Learning Alliance,8,2019,2,1
Kabarole Learning Alliance,8,2019,4,1
Kabarole Learning Alliance,8,2020,2,1
Kabarole Learning Alliance,9,2018,4,2
Kabarole Learning Alliance,9,2019,2,1
Kabarole Learning Alliance,9,2019,4,2
Kabarole Learning Alliance,9,2020,2,2
Kabarole Learning Alliance,10,2018,4,
Kabarole Learning Alliance,10,2019,2,2
Kabarole Learning Alliance,10,2019,4,2
Kabarole Learning Alliance,10,2020,2,2
Kabarole Learning Alliance,11,2018,4,2
Kabarole Learning Alliance,11,2019,2,1
Kabarole Learning Alliance,11,2019,4,1
Kabarole Learning Alliance,11,2020,2,1
Kabarole Learning Alliance,12,2018,4,1
Kabarole Learning Alliance,12,2019,2,2
Kabarole Learning Alliance,12,2019,4,2
Kabarole Learning Alliance,12,2020,2,2
Kumi District,1,2018,2,2
Kumi District,1,2018,4,2
Kumi District,1,2019,2,3
Kumi District,1,2019,4,3
Kumi District,1,2020,2,3
Kumi District,2,2018,2,
Kumi District,2,2018,4,1
Kumi District,2,2019,2,1
Kumi District,2,2019,4,1
Kumi District,2,2020,2,2
Kumi District,3,2018,2,2
Kumi District,3,2018,4,2
Kumi District,3,2019,2,2
Kumi District,3,2019,4,2
Kumi District,3,2020,2,1
Kumi District,4,2018,2,3
Kumi District,4,2018,4,2
Kumi District,4,2019,2,2
Kumi District,4,2019,4,2
Kumi District,4,2020,2,2
Kumi District,5,2018,2,2
Kumi District,5,2018,4,2
Kumi District,5,2019,2,3
Kumi District,5,2019,4,3
Kumi District,5,2020,2,3
Kumi District,6,2018,2,2
Kumi District,6,2018,4,2
Kumi District,6,2019,2,2
Kumi District,6,2019,4,2
Kumi District,6,2020,2,2
Kumi District,7,2018,2,3
Kumi District,7,2018,4,2
Kumi District,7,2019,2,2
Kumi District,7,2019,4,2
Kumi District,7,2020,2,1
Kumi District,8,2018,2,2
Kumi District,8,2018,4,2
Kumi District,8,2019,2,3
Kumi District,8,2019,4,3
Kumi District,8,2020,2,3
Kumi District,9,2018,2,1
Kumi District,9,2018,4,1
Kumi District,9,2019,2,1
Kumi District,9,2019,4,1
Kumi District,9,2020,2,1
Kumi District,10,2018,2,1
Kumi District,10,2018,4,2
Kumi District,10,2019,2,2
Kumi District,10,2019,4,2
Kumi District,10,2020,2,2
Kumi District,11,2018,2,
Kumi District,11,2018,4,1
Kumi District,11,2019,2,1
Kumi District,11,2019,4,1
Kumi District,11,2020,2,1
Kumi District,12,2018,2,
Kumi District,12,2018,4,
Kumi District,12,2019,2,1
Kumi District,12,2019,4,1
Kumi District,12,2020,2,1
Nakaseke District,1,2018,2,2
Nakaseke District,1,2018,4,1
Nakaseke District,1,2019,2,2
Nakaseke District,1,2019,4,2
Nakaseke District,1,2020,2,2
Nakaseke District,2,2018,2,1
Nakaseke District,2,2018,4,1
Nakaseke District,2,2019,2,1
Nakaseke District,2,2019,4,1
Nakaseke District,2,2020,2,1
Nakaseke District,3,2018,2,1
Nakaseke District,3,2018,4,1
Nakaseke District,3,2019,2,2
Nakaseke District,3,2019,4,2
Nakaseke District,3,2020,2,2
Nakaseke District,4,2018,2,2
Nakaseke District,4,2018,4,1
Nakaseke District,4,2019,2,2
Nakaseke District,4,2019,4,1
Nakaseke District,4,2020,2,1
Nakaseke District,5,2018,2,1
Nakaseke District,5,2018,4,1
Nakaseke District,5,2019,2,3
Nakaseke District,5,2019,4,3
Nakaseke District,5,2020,2,3
Nakaseke District,6,2018,2,2
Nakaseke District,6,2018,4,2
Nakaseke District,6,2019,2,2
Nakaseke District,6,2019,4,2
Nakaseke District,6,2020,2,2
Nakaseke District,7,2018,2,
Nakaseke District,7,2018,4,1
Nakaseke District,7,2019,2,2
Nakaseke District,7,2019,4,2
Nakaseke District,7,2020,2,2
Nakaseke District,8,2018,2,2
Nakaseke District,8,2018,4,2
Nakaseke District,8,2019,2,3
Nakaseke District,8,2019,4,3
Nakaseke District,8,2020,2,3
Nakaseke District,9,2018,2,1
Nakaseke District,9,2018,4,1
Nakaseke District,9,2019,2,1
Nakaseke District,9,2019,4,2
Nakaseke District,9,2020,2,1
Nakaseke District,10,2018,2,1
Nakaseke District,10,2018,4,1
Nakaseke District,10,2019,2,2
Nakaseke District,10,2019,4,2
Nakaseke District,10,2020,2,2
Nakaseke District,11,2018,2,
Nakaseke District,11,2018,4,1
Nakaseke District,11,2019,2,1
Nakaseke District,11,2019,4,1
Nakaseke District,11,2020,2,1
Nakaseke District,12,2018,2,
Nakaseke District,12,2018,4,
Nakaseke District,12,2019,2,1
Nakaseke District,12,2019,4,1
Nakaseke District,12,2020,2,1
National,1,2020,2,3
National,2,2020,2,3
National,3,2020,2,2
National,4,2020,2,2
National,5,2020,2,1
Kamuli District,1,2018,2,2
Kamuli District,1,2018,4,2
Kamuli District,1,2019,2,3
Kamuli District,1,2019,4,3
Kamuli District,2,2020,2,3
Kamuli District,2,2018,2,
Kamuli District,2,2018,4,1
Kamuli District,2,2019,2,1
Kamuli District,2,2019,4,1
Kamuli District,3,2020,2,2
Kamuli District,3,2018,2,2
Kamuli District,3,2018,4,2
Kamuli District,3,2019,2,2
Kamuli District,3,2019,4,2
Kamuli District,3,2020,2,2
Kamuli District,4,2018,2,2
Kamuli District,4,2018,4,2
Kamuli District,4,2019,2,2
Kamuli District,4,2019,4,2
Kamuli District,4,2020,2,2
Kamuli District,5,2018,2,2
Kamuli District,5,2018,4,2
Kamuli District,5,2019,2,2
Kamuli District,5,2019,4,3
Kamuli District,5,2020,2,3
Kamuli District,6,2018,2,2
Kamuli District,6,2018,4,2
Kamuli District,6,2019,2,2
Kamuli District,6,2019,4,2
Kamuli District,6,2020,2,2
Kamuli District,7,2018,2,2
Kamuli District,7,2018,4,2
Kamuli District,7,2019,2,2
Kamuli District,7,2019,4,1
Kamuli District,7,2020,2,1
Kamuli District,8,2018,2,2
Kamuli District,8,2018,4,2
Kamuli District,8,2019,2,3
Kamuli District,8,2019,4,3
Kamuli District,8,2020,2,3
Kamuli District,9,2018,2,
Kamuli District,9,2018,4,
Kamuli District,9,2019,2,2
Kamuli District,9,2019,4,1
Kamuli District,9,2020,2,1
Kamuli District,10,2018,2,2
Kamuli District,10,2018,4,2
Kamuli District,10,2019,2,2
Kamuli District,10,2019,4,2
Kamuli District,10,2020,2,2
Kamuli District,11,2018,2,1
Kamuli District,11,2018,4,
Kamuli District,11,2019,2,2
Kamuli District,11,2019,4,1
Kamuli District,11,2020,2,1
Kamuli District,12,2018,2,
Kamuli District,12,2018,4,1
Kamuli District,12,2019,2,2
Kamuli District,12,2019,4,1
Kamuli District,12,2020,2,1
Mile Learning Alliance,1,2018,4,2
Mile Learning Alliance,1,2019,2,2
Mile Learning Alliance,1,2019,4,3
Mile Learning Alliance,1,2020,2,2
Mile Learning Alliance,2,2018,4,1
Mile Learning Alliance,2,2019,2,2
Mile Learning Alliance,2,2019,4,3
Mile Learning Alliance,2,2020,2,3
Mile Learning Alliance,3,2018,4,1
Mile Learning Alliance,3,2019,2,2
Mile Learning Alliance,3,2019,4,2
Mile Learning Alliance,3,2020,2,2
Mile Learning Alliance,4,2018,4,1
Mile Learning Alliance,4,2019,2,1
Mile Learning Alliance,4,2019,4,1
Mile Learning Alliance,4,2020,2,2
Mile Learning Alliance,5,2018,4,
Mile Learning Alliance,5,2019,2,2
Mile Learning Alliance,5,2019,4,2
Mile Learning Alliance,5,2020,2,2
Mile Learning Alliance,6,2018,4,1
Mile Learning Alliance,6,2019,2,1
Mile Learning Alliance,6,2019,4,1
Mile Learning Alliance,6,2020,2,1
South Ari Learning Alliance,1,2018,4,2
South Ari Learning Alliance,1,2019,2,2
South Ari Learning Alliance,1,2019,4,2
South Ari Learning Alliance,1,2020,2,3
South Ari Learning Alliance,2,2018,4,1
South Ari Learning Alliance,2,2019,2,2
South Ari Learning Alliance,2,2019,4,2
South Ari Learning Alliance,2,2020,2,3
South Ari Learning Alliance,3,2018,4,2
South Ari Learning Alliance,3,2019,2,2
South Ari Learning Alliance,3,2019,4,2
South Ari Learning Alliance,3,2020,2,2
South Ari Learning Alliance,4,2018,4,2
South Ari Learning Alliance,4,2019,2,1
South Ari Learning Alliance,4,2019,4,1
South Ari Learning Alliance,4,2020,2,2
South Ari Learning Alliance,5,2018,4,2
South Ari Learning Alliance,5,2019,2,2
South Ari Learning Alliance,5,2019,4,3
South Ari Learning Alliance,5,2020,2,2
South Ari Learning Alliance,6,2018,4,2
South Ari Learning Alliance,6,2019,2,1
South Ari Learning Alliance,6,2019,4,1
South Ari Learning Alliance,6,2020,2,2
Woliso Learning Alliance,1,2018,4,2
Woliso Learning Alliance,1,2019,2,3
Woliso Learning Alliance,1,2019,4,3
Woliso Learning Alliance,1,2020,2,3
Woliso Learning Alliance,2,2018,4,3
Woliso Learning Alliance,2,2019,2,3
Woliso Learning Alliance,2,2019,4,3
Woliso Learning Alliance,2,2020,2,3
Woliso Learning Alliance,3,2018,4,2
Woliso Learning Alliance,3,2019,2,2
Woliso Learning Alliance,3,2019,4,2
Woliso Learning Alliance,3,2020,2,2
Woliso Learning Alliance,4,2018,4,2
Woliso Learning Alliance,4,2019,2,2
Woliso Learning Alliance,4,2019,4,2
Woliso Learning Alliance,4,2020,2,3
Woliso Learning Alliance,5,2018,4,1
Woliso Learning Alliance,5,2019,2,1
Woliso Learning Alliance,5,2019,4,2
Woliso Learning Alliance,5,2020,2,2
Woliso Learning Alliance,6,2018,4,2
Woliso Learning Alliance,6,2019,2,2
Woliso Learning Alliance,6,2019,4,2
Woliso Learning Alliance,6,2020,2,2
Woliso Learning Alliance,7,2018,4,1
Woliso Learning Alliance,7,2019,2,2
Woliso Learning Alliance,7,2019,4,2
Woliso Learning Alliance,7,2020,2,2
Woliso Learning Alliance,8,2018,4,
Woliso Learning Alliance,8,2019,2,1
Woliso Learning Alliance,8,2019,4,2
Woliso Learning Alliance,8,2020,2,2
Woliso Learning Alliance,9,2018,4,3
Woliso Learning Alliance,9,2019,2,2
Woliso Learning Alliance,9,2019,4,2
Woliso Learning Alliance,9,2020,2,2
Woliso Learning Alliance,10,2018,4,1
Woliso Learning Alliance,10,2019,2,1
Woliso Learning Alliance,10,2019,4,1
Woliso Learning Alliance,10,2020,2,1
Debre Birhan Learning Alliance,1,2019,2,2
Debre Birhan Learning Alliance,1,2019,4,3
Debre Birhan Learning Alliance,1,2020,2,3
Debre Birhan Learning Alliance,2,2019,2,3
Debre Birhan Learning Alliance,2,2019,4,3
Debre Birhan Learning Alliance,2,2020,2,3
Debre Birhan Learning Alliance,3,2019,2,3
Debre Birhan Learning Alliance,3,2019,4,2
Debre Birhan Learning Alliance,3,2020,2,2
Debre Birhan Learning Alliance,4,2019,2,1
Debre Birhan Learning Alliance,4,2019,4,2
Debre Birhan Learning Alliance,4,2020,2,3
Debre Birhan Learning Alliance,5,2019,2,2
Debre Birhan Learning Alliance,5,2019,4,2
Debre Birhan Learning Alliance,5,2020,2,3
Debre Birhan Learning Alliance,6,2019,2,2
Debre Birhan Learning Alliance,6,2019,4,2
Debre Birhan Learning Alliance,6,2020,2,2
Debre Birhan Learning Alliance,7,2019,2,1
Debre Birhan Learning Alliance,7,2019,4,2
Debre Birhan Learning Alliance,7,2020,2,2
Debre Birhan Learning Alliance,8,2019,2,1
Debre Birhan Learning Alliance,8,2019,4,2
Debre Birhan Learning Alliance,8,2020,2,3
Debre Birhan Learning Alliance,9,2019,2,2
Debre Birhan Learning Alliance,9,2019,4,2
Debre Birhan Learning Alliance,9,2020,2,2
Debre Birhan Learning Alliance,10,2019,2,2
Debre Birhan Learning Alliance,10,2019,4,1
Debre Birhan Learning Alliance,10,2020,2,1
Debre Birhan Learning Alliance,1,2020,4,3
Debre Birhan Learning Alliance,2,2020,4,3
Debre Birhan Learning Alliance,3,2020,4,2
Debre Birhan Learning Alliance,4,2020,4,2
Debre Birhan Learning Alliance,5,2020,4,1
Debre Birhan Learning Alliance,6,2020,4,2
Debre Birhan Learning Alliance,7,2020,4,1
Debre Birhan Learning Alliance,8,2020,4,1
Debre Birhan Learning Alliance,9,2020,4,1
Debre Birhan Learning Alliance,10,2020,4,
Woliso Learning Alliance,1,2020,4,3
Woliso Learning Alliance,2,2020,4,3
Woliso Learning Alliance,3,2020,4,2
Woliso Learning Alliance,4,2020,4,3
Woliso Learning Alliance,5,2020,4,2
Woliso Learning Alliance,6,2020,4,2
Woliso Learning Alliance,7,2020,4,2
Woliso Learning Alliance,8,2020,4,2
Woliso Learning Alliance,9,2020,4,2
Woliso Learning Alliance,10,2020,4,1
Woliso Learning Alliance,11,2020,4,
Mile Learning Alliance,1,2020,4,2
Mile Learning Alliance,2,2020,4,3
Mile Learning Alliance,3,2020,4,2
Mile Learning Alliance,4,2020,4,2
Mile Learning Alliance,5,2020,4,1
Mile Learning Alliance,6,2020,4,1
Mile Learning Alliance,7,2020,4,
South Ari Learning Alliance,1,2020,4,3
South Ari Learning Alliance,2,2020,4,3
South Ari Learning Alliance,3,2020,4,2
South Ari Learning Alliance,4,2020,4,2
South Ari Learning Alliance,5,2020,4,2
South Ari Learning Alliance,6,2020,4,2
South Ari Learning Alliance,7,2020,4,
Kumi District,1,2020,4,3
Kumi District,2,2020,4,1
Kumi District,3,2020,4,2
Kumi District,4,2020,4,2
Kumi District,5,2020,4,3
Kumi District,6,2020,4,2
Kumi District,7,2020,4,1
Kumi District,8,2020,4,3
Kumi District,9,2020,4,1
Kumi District,10,2020,4,2
Kumi District,11,2020,4,1
Kumi District,12,2020,4,1
Kumi District,13,2020,4,
Nakaseke District,1,2020,4,3
Nakaseke District,2,2020,4,3
Nakaseke District,3,2020,4,2
Nakaseke District,4,2020,4,2
Nakaseke District,5,2020,4,3
Nakaseke District,6,2020,4,3
Nakaseke District,7,2020,4,1
Nakaseke District,8,2020,4,3
Nakaseke District,9,2020,4,1
Nakaseke District,10,2020,4,3
Nakaseke District,11,2020,4,3
Nakaseke District,12,2020,4,1
Nakaseke District,13,2020,4,
National,1,2020,4,3
National,2,2020,4,2
National,3,2020,4,1
National,4,2020,4,2
National,5,2020,4,1
National,6,2020,4,2
National,7,2020,4,2
National,8,2020,4,2
National,9,2020,4,2
National,10,2020,4,
Kamuli District,1,2020,4,
Kamuli District,2,2020,4,
Kamuli District,3,2020,4,
Kamuli District,4,2020,4,
Kamuli District,5,2020,4,
Kamuli District,6,2020,4,
Kamuli District,7,2020,4,
Kamuli District,8,2020,4,
Kamuli District,9,2020,4,
Kamuli District,10,2020,4,
Kamuli District,11,2020,4,
Kamuli District,12,2020,4,1
Kamuli District,13,2020,4,
Kitui County,1,2020,4,3
Kitui County,2,2020,4,3
Kitui County,3,2020,4,2
Kitui County,4,2020,4,2
Kitui County,5,2020,4,1
Kitui County,6,2020,4,2
Kitui County,7,2020,4,1
Kitui County,8,2020,4,1
Kitui County,9,2020,4,1
Kitui County,10,2020,4,
